target,category,value
example.com,subdomain,gastroljor19861.example.com
example.com,subdomain,nzrpantt.example.com
example.com,subdomain,artue.example.com
example.com,subdomain,erinbaxtere.example.com
example.com,subdomain,ice-marble.example.com
example.com,subdomain,info10.example.com
example.com,subdomain,medvedxxx333.example.com
example.com,subdomain,razdionov1986.example.com
example.com,subdomain,taa19.example.com
example.com,subdomain,zzedmin.example.com
example.com,subdomain,a7498460865.example.com
example.com,subdomain,b10101101.example.com
example.com,subdomain,d.philimonov120280.example.com
example.com,subdomain,ruskate61.example.com
example.com,subdomain,sternvip.example.com
example.com,subdomain,a9616681.example.com
example.com,subdomain,a9622741130.example.com
example.com,subdomain,ilvalil22.example.com
example.com,subdomain,vectorstroy.example.com
example.com,subdomain,yirii2378.example.com
example.com,subdomain,bmw888889140.example.com
example.com,subdomain,timur.kushchanov.example.com
example.com,subdomain,marteg71.example.com
example.com,subdomain,namevle.example.com
example.com,subdomain,147-255-227-135.w.example.com
example.com,subdomain,ops6.example.com
example.com,subdomain,shabeighuuql56.example.com
example.com,subdomain,spiridonov2.example.com
example.com,subdomain,fqdn.example.com
example.com,subdomain,hickorycomputer-r2-rep.example.com
example.com,subdomain,izykwow.example.com
example.com,subdomain,ts14.example.com
example.com,subdomain,zhongxiao2255.example.com
example.com,subdomain,afb5.example.com
example.com,subdomain,new15.example.com
example.com,subdomain,bahtyzzz92.example.com
example.com,subdomain,itservice.example.com
example.com,subdomain,smirnov86.example.com
example.com,subdomain,vps170.example.com
example.com,subdomain,livedigi-rs.example.com
example.com,subdomain,billmain.example.com
example.com,subdomain,bsnew.example.com
example.com,subdomain,alexey.gerasimov17.example.com
example.com,subdomain,hello1.example.com
example.com,subdomain,it50.example.com
example.com,subdomain,nugays8ogd.example.com
example.com,subdomain,rd9.example.com
example.com,subdomain,ganjkirov27.example.com
example.com,subdomain,grebenkov.example.com
example.com,subdomain,it19.example.com
example.com,subdomain,kaiwsea.example.com
example.com,subdomain,prox6.example.com
example.com,subdomain,vizorstudio.example.com
example.com,subdomain,147-255-227-96.w.example.com
example.com,subdomain,xjvoid.example.com
example.com,subdomain,automomiapost.example.com
example.com,subdomain,kardenforcs.example.com
example.com,subdomain,mrmarianuk.example.com
example.com,subdomain,q5352.example.com
example.com,subdomain,seomaestro31.example.com
example.com,subdomain,thehottech1501.example.com
example.com,subdomain,189735.example.com
example.com,subdomain,roberto31.example.com
example.com,subdomain,ryabininm7.example.com
example.com,subdomain,saminter.example.com
example.com,subdomain,scwez.example.com
example.com,subdomain,shuldiner1.example.com
example.com,subdomain,woolyru2.example.com
example.com,subdomain,am88.example.com
example.com,subdomain,casinou.example.com
example.com,subdomain,s15.denisov.example.com
example.com,subdomain,m61.example.com
example.com,subdomain,roberto88.example.com
example.com,subdomain,smithmakx.example.com
example.com,subdomain,amir13.spyware.example.com
example.com,subdomain,tigglebiggle.example.com
